name, ra,  dec,
S675 , 311.7974 , 14.9682 ,
S676 , 312.0277 , 14.9714 ,
S677 , 310.9337 , 16.2034 ,
S678 , 310.9051 , 16.0955 ,
S679 , 311.4698 , 16.8154 ,
S680 , 311.1904 , 16.7265 ,
S681 , 313.2663 , 16.759 ,
S682 , 333.2733 , 20.5546 ,
S683 , 332.9951 , 20.475 ,
S684 , 332.7895 , 21.24 ,
S685 , 332.2726 , 21.4823 ,
S686 , 332.1112 , 21.3656 ,
S687 , 331.0874 , 21.7369 ,
S688 , 332.037 , 21.8722 ,
S689 , 332.462 , 22.1077 ,
S690 , 264.7398 , 32.8125 ,
S691 , 262.3278 , 32.9227 ,
S692 , 262.2438 , 33.0741 ,
S693 , 262.1206 , 34.0325 ,
S694 , 261.8499 , 33.2962 ,
S695 , 262.7993 , 33.9083 ,
S696 , 262.8079 , 33.8225 ,
S697 , 262.1463 , 33.5299 ,
S698 , 262.2995 , 33.6681 ,
S699 , 263.0605 , 34.1358 ,
S700 , 262.7902 , 33.7774 ,
S701 , 263.471 , 34.0339 ,
S702 , 264.2789 , 33.689 ,
S703 , 264.2668 , 33.34 ,
